decision,raw_name,receipt_price,rank,score,evidence,catalog_name,brand,pack_size,catalog_price,article_number,url
y 500 g,Alnatura Chiasamen,3.99,1,5.5,search#1 brand:alnatura price:3.99,Bio Chia Samen,Alnatura,"0,5 kg (7,98 € / 1 kg)",3.99,4104420249967,https://produkte.globus.de/obst-gemuese/trockenobst-nuesse-kerne/trockenobst/4104420249967/bio-chia-samen
y 200 g,Alnatura Chiasamen,3.99,2,4.7,search#2 brand:alnatura,Bio Chia Samen,Alnatura,"0,2 kg (12,45 € / 1 kg)",,4104420244092,https://produkte.globus.de/brot-backwaren-fruehstueck/backzutaten/nuesse-zum-backen/4104420244092/bio-chia-samen
n,Alnatura Chiasamen,3.99,3,4.4,search#3 brand:alnatura,"Bio Leinsamen, geschrotet",Alnatura,"0,2 kg (7,45 € / 1 kg)",1.49,4104420241848,https://produkte.globus.de/obst-gemuese/trockenobst-nuesse-kerne/kerne-nuesse-samen/4104420241848/bio-leinsamen-geschrotet
y,Dove Dusche,2.49,1,7.0,search#1 name:dusche brand:dove,Dusche Fruchtig Leicht,Dove,"0,25 l (9,16 € / 1 l)",2.29,8720181848834,https://produkte.globus.de/koerperpflege-gesundheit-kosmetik/koerperpflege/duschgel/8720181848834/dusche-fruchtig-leicht
y,Dove Dusche,2.49,2,6.7,search#2 name:dusche brand:dove,Dusche Sweet Treat,Dove,"0,25 l (9,16 € / 1 l)",2.29,8720181923883,https://produkte.globus.de/koerperpflege-gesundheit-kosmetik/koerperpflege/duschgel/8720181923883/dusche-sweet-treat
y,Dove Dusche,2.49,3,5.2,search#7 name:dusche brand:dove,Advanced Dusche Bridgerton,Dove,"0,23 l (12,40 € / 1 l)",2.79,8720181871375,https://produkte.globus.de/koerperpflege-gesundheit-kosmetik/koerperpflege/duschgel/8720181871375/advanced-dusche-bridgerton
y,Dove Dusche 225ml,2.49,1,5.03,search#2 name:dusche brand:dove size-mismatch,Advanced Dusche Bridgerton,Dove,"0,23 l (12,40 € / 1 l)",2.79,8720181871375,https://produkte.globus.de/koerperpflege-gesundheit-kosmetik/koerperpflege/duschgel/8720181871375/advanced-dusche-bridgerton
y,Dove Dusche 225ml,2.49,2,4.73,search#3 name:dusche brand:dove size-mismatch,"Advanced Dusche, Pflege Öl",Dove,"0,23 l (13,29 € / 1 l)",,8720181460029,https://produkte.globus.de/koerperpflege-gesundheit-kosmetik/koerperpflege/duschgel/8720181460029/advanced-dusche-pflege-oel
n,Dove Dusche 225ml,2.49,3,4.0,search#1 brand:dove size-mismatch,"Dusch-Peeling, Macadamia/Reismilch",Dove,"0,23 l (25,73 € / 1 l)",,8710447217054,https://produkte.globus.de/koerperpflege-gesundheit-kosmetik/koerperpflege/duschgel/8710447217054/dusch-peeling-macadamia-reismilch
y,Drachenzungen Eis bu,4.99,1,7.0,search#1 name:drachenzungen+eis,"Eis Saure Drachenzungen, bunt",hitschies,"0,46 l (6,50 € / 1 l)",2.99,4003840001936,https://produkte.globus.de/tiefkuehlprodukte/eis/eis-grosspackungen/4003840001936/eis-saure-drachenzungen-bunt
