decision;raw_name;receipt_price;rank;score;evidence;catalog_name;brand;pack_size;catalog_price;article_number;url
Y;ALN.3-KORN-FLOCKEN;1.99;1;5.17;name:flocken+korn brand:alnatura price:1.99;Bio 3 Korn Flocken;Alnatura;0,5 kg (3,98 € / 1 kg);1.99;4104420010680;https://produkte.globus.de/brot-backwaren-fruehstueck/muesli/dinkel-getreide-haferflocken/4104420010680/bio-3-korn-flocken
;ALN.3-KORN-FLOCKEN;1.99;2;5.17;name:flocken+korn brand:alnatura price:1.99;Bio 5 Korn Flocken;Alnatura;0,5 kg (3,98 € / 1 kg);1.99;4104420012554;https://produkte.globus.de/brot-backwaren-fruehstueck/muesli/dinkel-getreide-haferflocken/4104420012554/bio-5-korn-flocken
;ALN.3-KORN-FLOCKEN;1.99;3;3.33;name:alnatura brand:alnatura;Alnatura Bio Malzkaffee;Alnatura;0,1 kg (29,90 € / 1 kg);2.99;4104420145382;https://produkte.globus.de/brot-backwaren-fruehstueck/kaffee/malzkaffee/4104420145382/alnatura-bio-malzkaffee
;ALNATURA BIO SCHOKO;4.49;1;5.17;name:bio+schoko brand:alnatura price:4.49;Bio Müsli, Schoko;Alnatura;0,75 kg (5,99 € / 1 kg);4.49;4104420017849;https://produkte.globus.de/brot-backwaren-fruehstueck/muesli/muesli/4104420017849/bio-muesli-schoko
;ALNATURA BIO SCHOKO;4.49;2;5.17;name:bio+schoko brand:alnatura price:4.49;Bio Müsli, Hafer Chrunchy, Schoko;Alnatura;0,75 kg (5,99 € / 1 kg);4.49;4104420238244;https://produkte.globus.de/brot-backwaren-fruehstueck/muesli/muesli/4104420238244/bio-muesli-hafer-chrunchy-schoko
;ALNATURA BIO SCHOKO;4.49;3;4.67;name:bio+schoko brand:alnatura;Bio Reiswaffeln, Schoko Vollmilch;Alnatura;0,1 kg (17,90 € / 1 kg);1.79;4104420053069;https://produkte.globus.de/brot-backwaren-fruehstueck/brot-backwaren/knaeckebrot-reiswaffeln-zwieback/4104420053069/bio-reiswaffeln-schoko-vollmilch
;Alnatura Chiasamen;3.99;1;4.0;name:alnatura brand:alnatura;Alnatura Bio Malzkaffee;Alnatura;0,1 kg (29,90 € / 1 kg);2.99;4104420145382;https://produkte.globus.de/brot-backwaren-fruehstueck/kaffee/malzkaffee/4104420145382/alnatura-bio-malzkaffee
;Alnatura Chiasamen;3.99;2;4.0;name:alnatura brand:alnatura;Alnatura Buttermilch, 1% Fett;Alnatura;0,5 l (1,98 € / 1 l);0.99;4104420243347;https://produkte.globus.de/milchprodukte-eier/milch-molkereiprodukte/buttermilch-dickmilch/4104420243347/alnatura-buttermilch-1-fett
;Alnatura Chiasamen;3.99;3;2.5;brand:alnatura price:3.99;Bio Bourbon Vanille gemahlen;Alnatura;0,01 kg (798,00 € / 1 kg);3.99;40045405;https://produkte.globus.de/brot-backwaren-fruehstueck/backzutaten/klassische-backzutaten/40045405/bio-bourbon-vanille-gemahlen
y;Alnatura Eier 10er;5.29;1;5.83;name:eier brand:alnatura size:10piece price:5.29;Bio Eier Bruderküken, Gr. M-L;Alnatura;10 Stk (0,53 € / 1 Stk);5.29;4104420182929;https://produkte.globus.de/milchprodukte-eier/eier/4104420182929/bio-eier-bruderkueken-gr.-m-l
